lon,lat,popd,elev,tem,pre,slope
116.9120026,30.4878998,780.3626424,8,17.39737075,1527.713141,0.452449542
116.7549973,30.5876999,394.8477924,48,17.19458886,1487.430564,0.841869824
116.5410004,30.7548008,261.473829,49,15.96059934,1456.084983,3.556553052
116.2409973,30.1040001,257.7735751,23,17.39976422,1555.229605,0.931693812
116.1729965,30.4950008,211.033975,101,16.25259368,1494.373948,3.337912231
116.9349976,30.9839001,386.1001626,10,16.61659821,1382.434849,1.651972061
116.677002,30.2411995,349.9625494,23,17.54884114,1569.365574,0.345714096
117.0660019,30.6513996,470.2034695,22,17.07528763,1493.158292,1.881050749
117.1709976,30.5557995,1226.042758,11,17.42474866,1526.335859,0.208300249
116.2080002,30.8983002,136.7023836,598,13.87643276,1457.801817,5.917014391
117.3580017,32.8792992,1903.564686,14,15.8122151,986.6413574,0.34194896
117.3399963,33.283699,366.5777121,13,15.55498744,950.527885,0.159143137
117.0100021,33.0507011,423.3089397,24,15.66982921,964.042607,0.214255226
117.4280014,33.0214996,694.9658459,17,15.68196678,978.4458606,0.205359729
117.4509964,32.9173012,1456.974362,33,15.71215622,987.8718517,0.475921458
117.7770004,33.1492996,368.1186489,26,15.60172112,984.3051856,0.245203739
117.2190018,32.8544998,1013.270231,7,15.78012457,987.0360071,0.568103564
116.1529999,33.1526985,590.8029445,38,15.64513369,938.2557332,0.144466968
116.5790024,33.2196999,514.2419664,26,15.62375891,936.5286946,0.142628097
115.8010025,33.7784004,678.3148373,36,15.30880228,840.6903117,0.164532365
116.2109985,33.5530014,555.2746877,29,15.45861206,885.796937,0.13578816
116.9929962,30.0294991,122.205388,88,17.12092163,1664.981637,2.436887798
117.5009995,30.5118999,244.7166745,61,16.86829923,1572.98583,2.583390366
117.8939972,30.5977993,208.350309,34,16.47541906,1558.190579,3.678018666
117.5230026,30.1942005,56.37478545,189,15.85387973,1703.466833,5.583832104
117.6529999,32.4700012,223.2816363,59,15.824404,1040.768881,0.384001905
117.598999,32.7893982,328.8017681,20,15.70843494,1005.775038,0.585570156
118.5230026,32.4690018,276.796985,32,15.88759453,1073.695928,0.457916676
118.302002,32.3459015,1002.228972,15,15.98756737,1078.708408,0.478336598
118.1279984,32.8070984,205.781135,23,15.66870836,1027.422251,0.505511187
118.1750031,32.3147011,309.0902711,51,15.85065238,1082.215103,0.676806927
118.0920029,32.0665016,251.0409508,35,16.15059636,1117.28962,0.498342383
118.961998,32.7162018,344.5348038,3,15.78746004,1056.001302,0.200978737
115.6320038,32.642601,653.0902337,17,16.01760384,1007.589169,0.229770473
115.3860016,33.2244987,981.3417437,59,15.54914311,909.6491474,0.132495486
115.2369995,32.9065018,902.9072474,52,15.76501172,956.894537,0.165030876
115.6360016,33.3330002,741.6985333,29,15.54183469,898.9547525,0.176350956
116.0159988,32.9235001,794.4388021,27,15.8133789,967.1831054,0.159255307
115.7249985,33.0363007,917.0813725,33,15.72430244,945.4736282,0.16218341
116.2529984,32.6585999,598.4216362,24,15.98338134,1008.314269,0.170332556
115.7139969,32.8641014,1350.470223,20,15.88238796,970.6632129,0.146988253
117.3219986,31.7411003,3865.75396,10,16.57547887,1161.298674,0.135879344
117.7180023,31.6464996,351.3504696,1,16.50111986,1199.905105,0.720843297
117.5680008,32.0018997,403.1843081,30,16.22483593,1114.63231,0.375051049
116.9980011,31.6877003,569.1993556,50,16.5125806,1177.486611,0.241492278
117.3209991,31.2693005,377.2207901,108,16.78194073,1293.688754,0.644035098
117.197998,31.9167995,5103.475908,29,16.39742738,1122.559709,0.203272433
117.0500031,31.8733997,1622.308755,57,16.35546509,1134.548794,0.270929147
117.3470001,31.9370995,3869.550563,19,16.3717034,1119.673709,0.190453623
117.1920013,32.2350006,427.0915151,43,16.09790196,1067.00263,0.280036201
116.9079971,34.0514984,1006.044025,35,15.03412956,850.7935305,0.529889418
116.8809967,33.8353996,642.5720841,30,15.16526201,873.2229518,0.579637553
116.6969986,33.6505013,471.0219023,26,15.37177097,886.5528094,0.116553867
116.7389984,33.9771996,3877.748017,27,15.14093646,850.428842,0.466436051
116.8180008,32.6543999,1755.883498,31,15.82551832,1008.356696,0.862911895
117.1139984,32.6285019,532.4422132,21,15.9304712,1008.992181,0.432604973
116.572998,32.7868004,583.0449213,25,15.88511869,989.1420826,0.246936166
116.8470001,32.7821999,544.0447061,29,15.84841943,990.3543075,0.199639173
116.7539978,32.2601013,284.7899284,36,16.1889973,1066.704434,0.230808122
116.9950027,32.5596008,2893.357541,58,15.9144583,1018.925499,0.388378444
116.9120026,32.5183983,819.9711665,30,16.03949305,1022.639544,0.380996367
118.0910034,30.2546997,83.9078828,525,15.75121735,1679.867449,4.870262113
118.2549973,29.9265995,225.5185267,312,16.25059723,1749.28827,3.635696963
117.5879974,29.8696003,65.79419673,185,16.45696015,1779.512797,3.98767638
118.564003,29.8675995,171.3685407,251,16.10984537,1728.104622,4.695780359
118.2910004,29.7416992,1500.079807,144,17.46318684,1763.560423,0.771712197
118.0780029,29.6632996,100.0288583,181,16.18077363,1828.984364,4.254341945
117.8990021,30.0100994,89.0501652,795,15.86951528,1760.361587,4.23311572
116.1809998,32.2531013,292.9931639,19,16.19864778,1084.505468,0.253515887
116.2340012,31.2833996,139.8846535,488,14.8423237,1348.335231,4.27510939
116.6159973,31.6594009,500.9066999,49,16.38182324,1199.342489,0.469743716
115.7669983,31.4750004,126.6933262,220,14.62445648,1316.373849,4.656763737
116.8160019,31.3059006,329.338895,54,15.97869936,1297.219652,2.306953237
116.0469971,31.8696003,381.6908358,49,16.34839437,1183.321205,0.27955948
116.3199997,31.7534008,484.4334179,51,16.32906944,1195.76465,0.62294448
118.7529984,31.5736008,433.2279076,3,16.57300082,1231.981433,0.536508639
118.5960007,31.4654999,457.2610942,5,16.70714811,1257.504804,0.191357785
118.0419998,31.6588993,325.5895747,60,16.42436134,1207.413174,1.071678645
118.2929993,31.7572994,311.8635824,13,16.46445775,1187.046119,0.374415324
118.5479965,31.7194996,2521.444358,8,16.46339941,1198.815135,0.54941132
118.5360031,31.6424007,2046.237674,7,16.53177169,1216.25391,0.504017673
116.4079971,34.4497986,638.8430935,40,14.92537666,781.970101,0.128857063
117.5309982,33.6878014,457.1599847,34,15.25973927,918.702859,0.148128438
117.8779984,33.5405006,412.7494921,27,15.34063417,951.1187127,0.14701857
116.8000031,34.2066994,571.5415131,57,14.95766585,828.8714963,0.45977778
117.1460037,33.7206993,571.7463687,29,15.25161374,896.8292803,0.265331306
117.3079987,30.8511009,314.9536308,35,17.04113516,1435.425484,0.962566881
117.6230011,30.8495998,296.2516035,2,17.08720263,1448.934182,0.99191084
117.8379974,30.9563007,3401.027334,25,17.01045681,1417.700915,0.890358609
117.9199982,30.9587994,282.324699,10,16.87048616,1419.288276,1.406845607
118.1549988,31.0811005,427.0835712,21,16.78307508,1376.876006,1.548623078
118.427002,31.2716007,4123.305189,2,16.87670179,1310.248952,0.081415049
118.2549973,31.3743,611.2633407,8,16.80167924,1282.923857,0.082894335
118.2740021,30.8929996,340.2528489,20,16.94071382,1433.261951,0.836828958
118.288002,31.2162991,817.6745268,5,16.89237562,1328.99328,0.333420564
119.3519974,30.8883991,236.4814896,70,16.45794773,1380.464481,1.913026823
118.6520004,30.1567001,124.76312,367,15.30320687,1664.055173,5.369061615
118.3639984,30.5949993,135.4253235,129,16.27305657,1539.836742,3.6273602130000002
118.4749985,30.3162994,124.3352697,289,15.75615971,1628.753221,4.587096204
119.1589966,31.0951996,282.9724072,36,16.74638946,1334.796241,0.67256511
118.9860001,30.4985008,158.5879662,218,15.98409329,1518.508409,3.711543984
118.7870026,30.9414005,255.2630196,2,16.73922847,1396.178491,1.141067372
116.2050018,40.2140007,1690.31682,39,11.16137359,536.4751807,3.020677931
116.5090027,39.952301,7434.093709,58,12.44432154,547.8458806,0.198496621
116.413002,39.6464996,1927.422665,29,12.66056892,542.3494504,0.190934175
116.4100037,39.911499,16864.43412,60,12.37861772,543.33364,0.152398114
115.8479996,39.7178993,657.0427543,405,10.80258744,542.7594173,4.123506659
116.2440033,39.834301,6636.886891,59,12.36177882,533.1547522,0.494387378
116.2269974,40.0256996,7277.017215,104,12.10347114,529.5560363,1.671508268
116.5800018,40.6282005,207.809334,422,9.45722154,569.3282851,4.492930079
115.7850037,39.9929008,271.1498383,547,8.91294777,563.8782193,6.307099533
116.9889984,40.5251999,236.941522,148,10.3972909,595.2930152,3.322213646
117.1389999,40.2075996,482.3274668,118,11.23933538,609.0942419,2.733376857
116.1699982,39.9319,6724.53869,87,12.02996869,530.3932962,1.899084743
116.7180023,40.1493988,1311.726865,14,12.3353639,559.7226113,0.325854089
116.7269974,39.8021011,2033.025823,28,12.55174433,562.2174225,0.143833866
116.3590012,39.9108009,21880.96377,64,12.37564214,539.2939202,0.107231303
116.1579971,40.5383987,173.264325,503,8.6157459,556.5637972,4.2178758180000004
119.3190002,26.0175991,7469.845525,8,20.91143898,1559.096838,0.554630941
119.3789978,25.6180992,782.746741,28,20.45507396,1520.607686,2.494126294
119.2789993,26.0951004,18940.11926,28,20.74798328,1577.935219,0.762463665
119.3030014,26.2229004,1429.482912,378,18.69143196,1645.93159,4.985349537
119.5859985,26.3064003,492.5846332,393,19.54494998,1621.879297,4.088131726
119.4800034,26.4981995,218.538826,297,18.5309956,1691.209887,4.655041245
119.5019989,26.0764999,1027.084547,22,19.78996924,1581.301304,4.166192295
119.1119995,26.1774006,465.0856284,237,18.61259958,1654.31525,5.381769156
118.7639999,26.2080994,171.6018696,192,18.47629344,1684.874944,6.295534439
119.314003,26.0594997,23408.91575,5,20.90015769,1566.424973,0.475227507
118.7850037,25.8551006,126.226389,653,18.60966935,1639.657644,6.117669553
119.560997,25.9120998,1067.216374,29,20.39710796,1538.062051,2.435784876
116.8099976,25.6005993,96.70904312,691,17.97197255,1806.120147,4.857477434
116.5579987,25.1224995,132.5314601,555,19.26686793,1763.333978,4.103216299
116.1269989,25.1345005,105.3852,295,19.25303789,1726.071685,3.709613703
117.0749969,25.2192001,315.723825,555,18.40949792,1794.961559,5.692708035
116.814003,24.7588005,145.2687768,655,19.63797615,1749.994804,4.542559306
117.4380035,25.3778992,85.93676031,613,18.53473105,1765.910646,5.523014675
116.3600006,25.6926003,127.9379675,437,18.72420207,1762.019438,3.45980415
117.3430023,27.6536007,58.10211817,280,16.85906538,1980.347467,5.566170018
